ID      CODIGO    MOEDA    VENCIMENTO    TIPOCONTA    SITUACAO    DESCRICAO                                                                                                VALOR       
1       50        1        05/02/2003    23           1           Enalta                                                                                                   560         
1       51        1        10/02/2003    1            1           Celular                                                                                                  40          
1       52        1        15/03/2003    11           1           Ajuda Mãe                                                                                                175         
1       53        1        05/03/2003    23           1           Enalta                                                                                                   784         
1       54        1        09/03/2003    26           1           CD-R/DVD - 3/5                                                                                           64          
1       55        1        10/02/2003    1            1           Celular 3/4                                                                                              52,25       
1       56        1        12/02/2003    21           1           Passe escolar                                                                                            35          
1       57        1        12/02/2003    20           1           Cheque                                                                                                   32          
1       58        1        05/02/2003    29           1           Magazine Luiza - 1/2                                                                                     30          
1       59        1        12/02/2003    11           1           Reconhecimento de Firmas                                                                                 25          
1       60        1        20/02/2003    11           1           Diploma da Dri                                                                                           20          
1       61        1        12/02/2003    12           1           CIT                                                                                                      10          
1       62        1        23/02/2003    21           1           Gastos da Empresa Cruz                                                                                   10          
1       63        1        05/02/2003    1            1           Conta Extra Celular                                                                                      5           
1       64        1        09/03/2003    1            1           Celular - 4/4                                                                                            52,5        
1       65        1        15/03/2003    30           1           Tênis                                                                                                    49,9799995422363    
1       66        1        09/03/2003    26           1           Memória 128Mb - 1/2                                                                                      45,4000015258789    
1       67        1        06/03/2003    11           1           Adriana                                                                                                  40          
1       68        1        12/03/2003    20           1           Cheque                                                                                                   31,5        
1       69        1        10/03/2003    1            1           Celular                                                                                                  30          
1       70        1        10/03/2003    12           1           Rodízio - Churrascaria Trevo                                                                             28,3999996185303    
1       71        1        20/03/2003    31           1           Presente Mãe 2/2                                                                                         24,7999992370605    
1       72        1        08/03/2003    12           1           CIT                                                                                                      22,5        
1       73        1        05/04/2003    23           1           Enalta                                                                                                   784         
1       74        1        10/04/2003    11           1           Ajuda Mãe                                                                                                100         
1       75        1        09/04/2003    26           1           CD-R/DVD - 4/5                                                                                           64          
1       76        1        18/10/2003    11           1           Corte de Cabelo                                                                                          12          
1       77        1        16/04/2003    20           1           Cheque                                                                                                   48          
1       78        1        09/04/2003    26           1           Memória 128Mb - 2/2                                                                                      45,4000015258789    
1       79        1        10/04/2003    1            1           Celular                                                                                                  42          
1       80        1        15/04/2003    21           1           Passe escolar                                                                                            35          
1       81        1        05/04/2003    29           1           Magazine Luiza - 2/2                                                                                     30          
1       82        1        13/04/2003    12           1           Rodízio - Churrascaria Trevo                                                                             28,8999996185303    
1       83        1        06/04/2003    12           1           CIT                                                                                                      27          
1       84        1        08/04/2003    12           1           Conta Tapetes                                                                                            13,6000003814697    
1       85        1        27/04/2003    12           1           Pizza                                                                                                    10          
1       86        1        06/04/2003    13           1           Anticoncepcional Dri                                                                                     7,5         
1       87        1        05/04/2003    1            1           Ajuda Telefone Dri                                                                                       6           
1       88        1        25/04/2003    12           1           Pizza                                                                                                    7           
1       89        1        12/05/2003    11           1           Ajuda Mãe                                                                                                100         
1       90        1        05/05/2003    23           1           Enalta                                                                                                   784         
1       91        1        09/05/2003    26           1           CD-R/DVD - 5/5                                                                                           64          
1       92        1        05/01/2003    23           1           Enalta                                                                                                   560         
1       93        1        15/01/2003    30           1           Camisa São Paulo                                                                                         48,9000015258789    
1       94        1        10/01/2003    1            1           Celular - 2/4                                                                                            52,5        
1       95        1        05/01/2003    1            1           Celular                                                                                                  32          
1       96        1        09/01/2003    26           1           CD-R/DVD - 1/5                                                                                           64          
1       97        1        15/01/2003    31           1           Presente Mãe - 1/2                                                                                       24,8999996185303    
1       98        1        21/05/2003    31           1           Assinatura de Revista - 1/4                                                                              45          
1       99        1        10/05/2003    1            1           Celular                                                                                                  35          
1       100       1        12/05/2003    32           1           Blusa Dri                                                                                                32          
1       101       1        10/05/2003    12           1           Conta Tapetes                                                                                            20,3999996185303    
1       102       1        12/05/2003    11           1           Ajuda - Escrivaninha Dri                                                                                 20          
1       103       1        15/05/2003    26           1           Compra de CDs                                                                                            18          
1       104       1        13/05/2003    21           1           Passe escolar                                                                                            17,5        
1       105       1        12/05/2003    12           1           Beirute                                                                                                  17,1000003814697    
1       106       1        06/05/2003    12           1           CIT                                                                                                      17          
1       107       1        15/05/2003    13           1           Anticoncepcional Dri                                                                                     15,8000001907349    
1       108       1        20/05/2003    11           1           Dívida - Banca de Jornais                                                                                15          
1       109       1        13/05/2003    12           1           Pizza                                                                                                    7           
1       110       1        12/06/2003    11           1           Ajuda Mãe                                                                                                100         
1       111       1        05/06/2003    23           1           Enalta                                                                                                   784         
1       112       1        05/06/2003    25           1           Poupança                                                                                                 50          
1       113       1        21/06/2003    31           1           Assinatura de Revista - 2/4                                                                              45          
1       114       1        10/06/2003    20           1           Cheque                                                                                                   36          
1       115       1        10/06/2003    21           1           Passe escolar                                                                                            35          
1       116       1        06/06/2003    12           1           CIT                                                                                                      30          
1       117       1        06/06/2003    12           1           Conta Tapetes                                                                                            30          
1       118       1        10/06/2003    1            1           Celular                                                                                                  30          
1       119       1        05/06/2003    1            1           Ajuda Telefone Dri                                                                                       20          
1       120       1        05/06/2003    29           1           Marabraz - 1/5                                                                                           18,6000003814697    
1       121       1        20/06/2003    12           1           Pizza                                                                                                    8,5         
1       122       1        05/07/2003    11           1           Totais Dri                                                                                               52          
1       123       1        05/07/2003    23           1           Enalta                                                                                                   734         
1       124       1        21/07/2003    31           1           Assinatura Revista - 3/4                                                                                 45          
1       125       1        10/07/2003    1            1           Celular                                                                                                  28          
1       126       1        06/07/2003    12           1           Rodízio - Churrascaria Trevo                                                                             32          
1       127       1        06/07/2003    12           1           Conta Tapetes                                                                                            31          
1       128       1        12/07/2003    11           1           Ajuda Mãe                                                                                                100         
1       129       1        12/07/2003    21           1           Passe escolar                                                                                            35          
1       130       1        09/07/2003    29           1           Móveis - 1/5                                                                                             65          
1       131       1        10/07/2003    26           1           Cabo de Rede                                                                                             40          
1       132       1        28/07/2003    12           1           Pizza                                                                                                    10          
1       133       1        10/08/2003    26           1           Mouse Óptico                                                                                             30          
1       134       1        05/08/2003    23           1           Enalta                                                                                                   784         
1       135       1        10/08/2003    29           1           Aliança - 1/3                                                                                            40          
1       136       1        09/08/2003    29           1           Móveis - 2/5                                                                                             60          
1       137       1        10/08/2003    20           1           Cheque                                                                                                   32          
1       138       1        21/08/2003    31           1           Assinatura Revista - 4/4                                                                                 45          
1       139       1        06/10/2003    11           1           Transparências                                                                                           4,5         
1       140       1        25/08/2003    32           1           Caixa de Cerveja - Noivado                                                                               40,5999984741211    
1       141       1        18/08/2003    11           1           Despesa Geral de Moradia                                                                                 210         
1       142       1        10/08/2003    1            1           Celular                                                                                                  30          
1       143       1        06/08/2003    12           1           CIT                                                                                                      57          
1       144       1        06/08/2003    12           1           Conta Tapetes                                                                                            44          
1       145       1        05/08/2003    29           1           Marabraz - 3/5                                                                                           18          
1       146       1        05/08/2003    1            1           Ajuda Telefone Dri                                                                                       20          
1       147       1        05/09/2003    23           1           Enalta                                                                                                   784         
1       148       1        10/09/2003    1            1           Celular                                                                                                  17          
1       149       1        05/09/2003    1            1           Ajuda Telefone Dri                                                                                       20          
1       150       1        05/09/2003    29           1           Marabraz - 4/5                                                                                           12          
1       151       1        05/09/2003    12           1           Lanche do Mês Passado                                                                                    15,5        
1       152       1        05/09/2003    12           1           Rodízio - Churrascaria Trevo                                                                             33          
1       153       1        09/09/2003    29           1           Móveis - 3/5                                                                                             60          
1       154       1        10/09/2003    29           1           Aliança - 2/3                                                                                            80          
1       155       1        06/09/2003    12           1           CIT                                                                                                      15          
1       156       1        18/09/2003    11           1           Despesas de Moradia s/ Telefone                                                                          195         
1       157       1        18/09/2003    32           1           Presente de Aniv. da Dri                                                                                 20          
1       158       1        20/09/2003    12           1           Churrasco                                                                                                48          
1       159       1        06/09/2003    12           1           Conta Tapetes                                                                                            45          
1       160       1        20/10/2003    24           1           Ganhos no bingo                                                                                          36,5        
1       161       1        05/12/2002    23           1           Enalta                                                                                                   560         
1       162       1        05/12/2002    23           1           13º - Enalta                                                                                             460         
1       163       1        18/12/2002    1            1           Celular - 1/4                                                                                            52,5        
1       164       1        18/10/2003    21           1           Viagem p/ São João                                                                                       32          
1       165       1        06/12/2002    21           1           Passe escolar                                                                                            30          
1       166       1        25/10/2003    21           1           Viagem p/ São José                                                                                       47          
1       167       1        06/08/2002    26           1           Micro AMD Duron - 1/5                                                                                    215         
1       168       1        06/09/2002    26           1           Micro AMD Duron - 2/5                                                                                    215         
1       169       1        06/10/2002    26           1           Micro AMD Duron - 3/5                                                                                    215         
1       170       1        06/11/2002    26           1           Micro AMD Duron - 4/5                                                                                    215         
1       171       1        06/12/2002    26           1           Micro AMD Duron - 5/5                                                                                    215         
1       172       1        05/04/2002    23           1           Enalta                                                                                                   480         
1       173       1        05/05/2002    23           1           Enalta                                                                                                   640         
1       174       1        05/06/2002    23           1           Enalta                                                                                                   640         
1       175       1        05/07/2002    23           1           Enalta                                                                                                   640         
1       176       1        05/08/2002    23           1           Enalta                                                                                                   640         
1       177       1        05/09/2002    23           1           Enalta                                                                                                   640         
1       178       1        05/10/2002    23           1           Enalta                                                                                                   560         
1       179       1        05/11/2002    23           1           Enalta                                                                                                   560         
1       180       1        20/10/2003    24           1           Vale Enalta                                                                                              50          
1       181       1        06/11/2003    12           1           Delícias de Minas                                                                                        75,5599975585938    
1       182       1        06/11/2003    13           1           Anticoncepcional Dri                                                                                     15          
1       183       1        05/12/2003    25           1           Juros                                                                                                    10          
1       184       1        18/11/2003    27           1                                                                                                                    10          
1       185       1        06/11/2003    28           1           Dri                                                                                                      15          
1       186       1        18/11/2003    28           1           Nilton                                                                                                   20          
1       187       1        29/10/2003    24           1           Vale - Enalta                                                                                            50          
1       188       1        31/10/2003    21           1           Viagem p/ São José                                                                                       51          
1       189       1        07/11/2003    21           1           Viagem para São João                                                                                     40          
1       190       1        28/11/2003    21           1           Viagem para São José                                                                                     50          
1       191       1        06/07/2003    29           1           Marabraz - 2/5                                                                                           18          
1       192       1        06/12/2003    12           1           Gastos Strogonoff                                                                                        20          
1       193       1        06/11/2003    12           1           Pizza                                                                                                    11,3000001907349    
1       194       1        05/11/2003    25           1           Juros                                                                                                    7           
1       195       1        06/11/2003    28           1           Pinky                                                                                                    7           
1       196       1        08/12/2003    12           1           Delícias de Minas                                                                                        56,5        
1       197       1        29/11/2003    34           1           Os Normais                                                                                               10          
1       198       1        05/11/2003    25           1           Tarifa Plano Ouro                                                                                        3           
1       199       1        05/11/2003    34           1           Matrix Revolutions                                                                                       4,5         
1       200       1        15/05/2003    34           1           Matrix Reloaded                                                                                          5           
1       201       1        21/05/2003    34           1           Como Perder um Homem em 10 Dias                                                                          5           
1       202       1        28/05/2003    34           1           O Homem Que Copiava                                                                                      5           
1       203       1        20/12/2003    25           1           Tarifa Plano Ouro                                                                                        3           
1       204       1        10/12/2003    11           1           Supermercado Casa + Churrasco                                                                            133         
1       205       1        05/01/2004    23           1           Enalta                                                                                                   684         
1       206       1        06/11/2003    11           1           Gastos gerais São João                                                                                   10          
1       207       1        15/01/2004    2            1           <null>                                                                                                   5           
1       208       1        15/02/2004    27           1           <null>                                                                                                   16          
1       209       1        15/01/2004    4            1           <null>                                                                                                   112         
1       210       1        05/02/2004    23           1           Enalta                                                                                                   784         
1       211       1        05/03/2004    23           1           Enalta                                                                                                   784         
1       212       1        05/04/2004    23           1           Enalta                                                                                                   784         
1       213       1        05/05/2004    23           1           Enalta                                                                                                   784         
1       214       1        05/06/2004    23           1           Enalta                                                                                                   784         
1       215       1        05/07/2004    23           1           Enalta                                                                                                   684         
1       216       1        05/08/2004    23           1           Enalta                                                                                                   684         
1       217       1        05/09/2004    23           0           Enalta                                                                                                   1500        
1       218       1        05/10/2004    23           0           Enalta                                                                                                   1500        
1       219       1        05/11/2004    23           0           Enalta                                                                                                   1500        
1       220       1        05/12/2004    23           0           Enalta                                                                                                   1500        
1       221       1        15/03/2004    30           1           Armário                                                                                                  50          
1       222       1        15/03/2004    12           1           Gastos de alimentação em casa                                                                            10          
1       223       1        15/04/2004    12           1           Gastos de alimentação em casa                                                                            20          
1       568       1        17/05/2004    19           1           Pagto Tabernáculus Fabi                                                                                  62,1800003051758    
1       600       1        12/07/2004    33           1           1 Caixa de Skol                                                                                          35          
1       601       1        20/07/2004    12           1           Pizza                                                                                                    11,8000001907349    
1       227       1        08/12/2003    12           1           Cheque - Churrascaria Trevo                                                                              32          
1       228       1        15/08/2004    12           1           Gastos de alimentação em casa                                                                            10          
1       229       1        15/09/2004    12           0           Gastos de alimentação em casa                                                                            10          
1       230       1        15/10/2004    12           0           Gastos de alimentação em casa                                                                            10          
1       231       1        15/11/2004    12           0           Gastos de alimentação em casa                                                                            10          
1       232       1        15/12/2004    12           0           Gastos de alimentação em casa                                                                            10          
1       233       1        15/02/2004    2            1                                                                                                                    1,10000002384186    
1       234       1        15/03/2004    2            1                                                                                                                    5           
1       235       1        15/04/2004    2            1                                                                                                                    2,59999990463257    
1       236       1        15/05/2004    2            1                                                                                                                    4,59999990463257    
1       237       1        15/06/2004    2            1                                                                                                                    6,34999990463257    
1       238       1        15/07/2004    2            1                                                                                                                    3,70000004768372    
1       239       1        15/08/2004    2            1                                                                                                                    5           
1       240       1        15/09/2004    2            0                                                                                                                    5           
1       241       1        15/10/2004    2            0                                                                                                                    5           
1       242       1        15/11/2004    2            0                                                                                                                    5           
